source,sourceScore,hr,ro,zh,ca,vi,tr,no,nn,hu,lv,te,hi,lt,ga,th,bn,id,de,fi,ta,bg,ka,sv,fr,hy,sl,sk,uk,da,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pt,pl,en,ru,et,es,ja,nl,
su,1,41.904761904761905,48.88073394495413,38.3177570093458,44.85436893203884,36.36363636363637,3.8805970149253732,45.55339805825243,39.75308641975309,24.303797468354432,27.3,28.862068965517242,22.153846153846153,37.77777777777778,1.9047619047619047,32.078947368421055,35.36842105263158,56.957264957264954,7.644444444444445,27.03614457831325,17.6,39.9080459770115,14.553191489361701,14.623655913978494,24.11881188118812,9.242424242424242,47.916666666666664,43.51648351648352,55.96638655462185,48.04040404040404,10.941176470588236,38.97435897435897,55.08196721311475,50.345454545454544,52.114285714285714,12.675675675675675,19.31111111111111,31.397849462365592,32.19512195121951,51.113207547169814,16.363636363636363,19.854545454545455,58.656,45.03703703703704,29.94392523364486,30.990291262135923,46.365591397849464,39.596330275229356,5.775,42.70909090909091,
mg,1,27.5,41.34653465346535,12.898876404494382,37.916666666666664,58.53658536585366,46.336633663366335,33.362637362637365,30.666666666666668,50.716981132075475,35.15492957746479,17.302325581395348,34.97142857142857,23.181818181818183,1.9047619047619047,49.82,27.223880597014926,39.666666666666664,7.644444444444445,54.214285714285715,10.153846153846153,39.06976744186046,37.49333333333333,3.9080459770114944,49.91803278688525,5.71875,25.37313432835821,16.923076923076923,39.56435643564357,22.555555555555557,47.881188118811885,14.693877551020408,38.095238095238095,28.719101123595507,18.441176470588236,48.49523809523809,57.33870967741935,58.63934426229508,50.76923076923077,31.5,9.0,42.49411764705882,26.5531914893617,44.03738317757009,55.1937984496124,55.104,20.548387096774192,14.593406593406593,46.2,37.02857142857143,
st,1,44.0,42.35294117647059,40.62385321100918,48.41121495327103,32.8125,3.8805970149253732,45.55339805825243,39.75308641975309,10.971428571428572,28.93548387096774,28.280701754385966,23.09433962264151,33.55263157894737,1.9047619047619047,33.03896103896104,44.2247191011236,44.43564356435643,12.946236559139784,29.50588235294118,24.90566037735849,45.276595744680854,17.06122448979592,17.894736842105264,27.02912621359223,14.144927536231885,49.494949494949495,51.262135922330096,57.48760330578512,47.3469387755102,22.842105263157894,40.97560975609756,41.48148148148148,53.56140350877193,7.475409836065574,15.868421052631579,20.835164835164836,48.22018348623853,32.19512195121951,53.174311926605505,25.714285714285715,8.936170212765957,57.073170731707314,44.03738317757009,25.673076923076923,22.515463917525775,43.43181818181818,46.19130434782609,5.775,42.70909090909091,
mk,1,45.91304347826087,44.30769230769231,35.923809523809524,50.091743119266056,22.15909090909091,5.735294117647059,47.31428571428572,41.01204819277108,17.2972972972973,32.59701492537314,25.735849056603772,26.526315789473685,40.07142857142857,12.413793103448276,22.149253731343283,42.41860465116279,20.4,26.980392156862745,18.857142857142858,12.878048780487806,48.0,11.822222222222223,31.057692307692307,32.52336448598131,27.79746835443038,49.494949494949495,49.5,56.733333333333334,47.3469387755102,9.253731343283581,32.23880597014925,48.69565217391305,56.559322033898304,10.857142857142858,7.549295774647887,27.979166666666668,1.972972972972973,24.0,51.81308411214953,32.142857142857146,32.11764705882353,53.747899159663866,54.924369747899156,37.80530973451327,44.21052631578947,36.43589743589744,45.14035087719298,3.8987341772151898,47.89565217391304,
ml,1,44.49438202247191,40.32,39.48148148148148,44.85436893203884,25.0,36.111111111111114,41.81818181818182,37.03896103896104,25.6,24.63157894736842,37.975,40.7710843373494,44.2,3.6363636363636362,20.87878787878788,41.142857142857146,5.746478873239437,9.45054945054945,23.1,39.111111111111114,33.6,27.866666666666667,12.934782608695652,14.652631578947368,7.507692307692308,45.65217391304348,48.265306122448976,47.522935779816514,47.3469387755102,30.24390243902439,42.7906976744186,47.719298245614034,54.3304347826087,10.857142857142858,31.977272727272727,30.632653061224488,1.972972972972973,26.493506493506494,49.67307692307692,17.678571428571427,14.823529411764707,50.19130434782609,39.84466019417476,17.97979797979798,21.0,42.804597701149426,42.982142857142854,35.42,45.876106194690266,
sw,1,30.208955223880597,40.32,14.577777777777778,36.8421052631579,52.17391304347826,44.64646464646464,28.551724137931036,26.892307692307693,48.46601941747573,42.627906976744185,20.217391304347824,36.972972972972975,38.5609756097561,1.9047619047619047,46.863157894736844,24.0,17.435897435897434,7.644444444444445,52.07339449541284,10.153846153846153,40.72727272727273,36.43835616438356,9.444444444444445,50.926829268292686,5.71875,28.571428571428573,22.318840579710145,38.48,21.239436619718308,46.343434343434346,17.254901960784313,33.26732673267327,33.59139784946237,3.864406779661017,38.48936170212766,57.33870967741935,58.63934426229508,53.333333333333336,40.645161290322584,12.115384615384615,42.97674418604651,36.705882352941174,46.018348623853214,56.13846153846154,59.44615384615385,25.242424242424242,16.23913043478261,42.132075471698116,20.903225806451612,
mi,1,30.208955223880597,42.35294117647059,12.898876404494382,33.47826086956522,58.53658536585366,42.88659793814433,25.976470588235294,24.825396825396826,50.716981132075475,39.975,16.238095238095237,33.3134328358209,32.64,6.666666666666667,50.92156862745098,20.459016393442624,55.582608695652176,3.909090909090909,52.8,10.153846153846153,38.21176470588235,35.32394366197183,5.795454545454546,48.892561983471076,1.967741935483871,26.470588235294116,16.923076923076923,38.48,23.835616438356166,45.55102040816327,14.693877551020408,40.373831775700936,32.41304347826087,19.82608695652174,49.301886792452834,48.50877192982456,51.68141592920354,52.075471698113205,30.36144578313253,9.0,39.9,37.86407766990291,40.92307692307692,59.776119402985074,56.881889763779526,21.77777777777778,14.593406593406593,49.98245614035088,30.78,
be,1,44.49438202247191,43.33980582524272,38.3177570093458,46.666666666666664,17.647058823529413,5.735294117647059,47.31428571428572,41.01204819277108,10.971428571428572,31.90909090909091,27.054545454545455,28.06779661016949,40.07142857142857,14.193548387096774,20.87878787878788,43.63636363636363,24.57831325301205,29.76923076923077,7.542857142857143,19.659574468085108,48.0,14.553191489361701,32.38095238095238,28.442307692307693,28.975,48.45360824742268,51.82692307692308,58.22950819672131,46.63917525773196,12.579710144927537,33.6231884057971,45.714285714285715,54.3304347826087,3.864406779661017,14.293333333333333,33.18,1.972972972972973,20.0,53.174311926605505,32.95774647887324,28.875,53.747899159663866,54.924369747899156,27.123809523809523,44.21052631578947,35.63636363636363,48.23931623931624,9.390243902439025,51.73109243697479,
mn,1,43.49425287356322,42.35294117647059,44.991150442477874,40.0,19.186046511627907,54.55357142857143,46.44230769230769,40.390243902439025,21.61038961038961,27.3,37.67088607594937,28.8,39.325301204819276,3.6363636363636362,22.149253731343283,46.45161290322581,24.57831325301205,16.294736842105262,27.03614457831325,21.551020408163264,42.31111111111111,28.65573770491803,17.894736842105264,7.648351648351649,14.144927536231885,46.808510638297875,50.0990099009901,51.92982456140351,45.17894736842105,30.24390243902439,44.04494382022472,40.373831775700936,52.7787610619469,5.7,33.12359550561798,30.632653061224488,1.972972972972973,27.692307692307693,48.1764705882353,18.94736842105263,12.0,51.10344827586207,38.745098039215684,11.242105263157894,9.438202247191011,44.644444444444446,47.224137931034484,37.745098039215684,42.70909090909091,
is,1,43.49425287356322,49.74545454545454,22.442105263157895,43.92156862745098,19.186046511627907,10.985915492957746,55.91379310344828,46.97872340425532,22.974358974358974,34.542857142857144,23.56,26.526315789473685,41.51162790697674,12.413793103448276,19.56923076923077,36.92307692307692,3.8857142857142857,38.73873873873874,24.444444444444443,7.135135135135135,43.82608695652174,15.833333333333334,40.982142857142854,40.0353982300885,25.350649350649352,45.05494505494506,42.02247191011236,55.96638655462185,53.12149532710281,14.17142857142857,26.666666666666668,46.72566371681416,52.7787610619469,5.7,12.675675675675675,34.415841584158414,1.972972972972973,27.692307692307693,48.1764705882353,24.677419354838708,34.309859154929576,52.88135593220339,49.769911504424776,58.88721804511278,42.0,32.21917808219178,36.0188679245283,9.390243902439025,58.67716535433071,
