source,sourceScore,hr,ro,zh,ca,vi,no,hu,nn,lv,te,lt,hi,ga,th,id,bn,de,fi,ta,bg,sv,ka,fr,hy,sl,sk,da,uk,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pl,pt,en,ru,et,es,nl,ja,
su,1,52.8,48.0,64.38518518518518,59.67213114754098,57.78688524590164,58.65,17.2972972972973,47.916666666666664,31.90909090909091,36.027027027027025,40.8,24.87272727272727,6.666666666666667,30.08108108108108,76.71794871794872,54.486486486486484,38.73873873873874,21.72151898734177,33.0,59.733333333333334,43.24561403508772,18.24,12.957446808510639,36.45977011494253,59.34959349593496,64.85074626865672,55.92857142857143,65.65413533834587,25.435897435897434,52.41379310344828,69.21985815602837,68.94202898550725,68.55944055944056,33.12359550561798,25.21276595744681,28.87912087912088,34.285714285714285,59.85,37.4025974025974,21.0,68.28985507246377,79.47169811320755,9.46808510638298,11.2,51.82692307692308,69.65034965034965,54.442622950819676,14.494117647058824,
mg,1,40.78048780487805,68.8695652173913,19.397849462365592,55.51724137931034,63.46153846153846,52.21621621621622,62.98412698412698,43.35632183908046,46.3125,36.027027027027025,53.38317757009346,44.42553191489362,5.217391304347826,60.693548387096776,71.32867132867133,52.93457943925234,7.644444444444445,64.46511627906976,12.878048780487806,52.266666666666666,11.208791208791208,28.65573770491803,77.57961783439491,9.242424242424242,41.86046511627907,52.924528301886795,31.9,42.69230769230769,65.31297709923665,33.6231884057971,32.0,50.345454545454544,64.01538461538462,58.554621848739494,70.7132867132867,77.67948717948718,63.30708661417323,44.16494845360825,12.115384615384615,51.92727272727273,63.13846153846154,39.0,75.12987012987013,77.53846153846153,32.21917808219178,23.95876288659794,30.78,26.49462365591398,
st,1,48.48979591836735,47.10280373831776,67.25179856115108,53.27433628318584,41.82692307692308,51.43636363636364,15.780821917808218,42.7906976744186,32.59701492537314,37.03896103896104,40.8,24.0,6.666666666666667,30.08108108108108,63.75,58.22950819672131,37.527272727272724,18.857142857142858,31.428571428571427,63.0,40.982142857142854,19.372549019607842,12.957446808510639,33.404761904761905,58.67768595041322,65.18518518518519,54.836363636363636,70.87323943661971,22.842105263157894,50.642201834862384,46.72566371681416,61.98412698412698,31.746835443037973,36.41304347826087,26.610526315789475,75.88157894736842,28.860759493670887,64.93846153846154,36.71052631578947,13.44,68.89208633093526,76.98701298701299,9.46808510638298,11.2,49.98,68.97183098591549,61.83206106870229,20.764044943820224,
mk,1,57.024,64.85496183206106,52.85950413223141,68.46715328467154,39.705882352941174,66.94029850746269,30.476190476190474,53.527272727272724,45.29032258064516,34.929577464788736,53.833333333333336,41.86046511627907,26.885245901639344,38.31325301204819,27.2,58.22950819672131,64.81159420289855,34.1123595505618,33.0,65.88235294117646,65.28985507246377,30.875,59.31818181818182,55.55357142857143,63.768115942028984,67.09219858156028,66.52941176470588,79.11949685534591,31.373493975903614,40.97560975609756,67.2463768115942,76.10457516339869,40.98876404494382,33.12359550561798,59.71653543307087,14.419753086419753,40.879120879120876,72.0,49.5,44.359550561797754,77.47096774193548,73.22448979591837,57.984848484848484,80.34782608695652,49.0,76.53246753246754,69.59154929577464,36.59405940594059,
ml,1,55.46218487394958,55.38461538461539,65.83941605839416,60.32520325203252,47.72727272727273,59.30578512396694,37.97802197802198,48.371134020618555,39.49367088607595,45.572649572649574,47.242105263157896,50.21848739495798,20.48780487804878,38.31325301204819,25.904761904761905,59.71653543307087,52.70967741935484,36.26373626373626,48.0,60.59016393442623,53.46774193548387,32.8955223880597,36.38181818181818,46.06122448979592,58.333333333333336,65.51470588235294,61.300813008130085,65.65413533834587,41.333333333333336,51.68141592920354,67.2463768115942,73.41496598639456,44.12903225806452,54.54867256637168,46.55357142857143,5.7631578947368425,50.09708737864078,63.0,43.44827586206897,36.32432432432432,69.48571428571428,78.9873417721519,35.27927927927928,37.333333333333336,52.266666666666666,70.97931034482758,76.23529411764706,38.87378640776699,
sw,1,44.49438202247191,63.627906976744185,22.442105263157895,59.00826446280992,54.66101694915254,52.21621621621622,67.76470588235294,43.35632183908046,52.0,40.644444444444446,52.924528301886795,48.43636363636364,5.217391304347826,62.44961240310077,25.904761904761905,54.486486486486484,11.217391304347826,68.4087591240876,14.142857142857142,56.98245614035088,12.934782608695652,45.276595744680854,76.33548387096774,9.242424242424242,48.97959183673469,57.8448275862069,33.951219512195124,51.07964601769911,63.46456692913386,40.0,30.707070707070706,56.559322033898304,7.475409836065574,45.10891089108911,76.94805194805195,77.67948717948718,30.0,51.81308411214953,13.584905660377359,51.333333333333336,68.28985507246377,45.38181818181818,82.56626506024097,76.36363636363636,34.81578947368421,25.408163265306122,34.601941747572816,44.2037037037037,
mi,1,53.11711711711712,68.8695652173913,19.397849462365592,42.97029702970297,58.53658536585366,49.833333333333336,29.301204819277107,41.61904761904762,42.627906976744185,28.862068965517242,59.00826446280992,38.76923076923077,10.37037037037037,55.839285714285715,75.55555555555556,57.27731092436975,9.45054945054945,58.16949152542373,14.142857142857142,65.88235294117646,11.208791208791208,23.490909090909092,40.0353982300885,5.71875,46.236559139784944,59.583333333333336,30.835443037974684,44.679245283018865,57.724137931034484,30.0,63.7593984962406,69.46762589928058,67.58571428571429,73.74496644295301,66.22058823529412,40.475247524752476,68.20143884892086,45.81818181818182,13.584905660377359,48.0,74.46979865771812,76.47058823529412,43.74576271186441,61.89473684210526,26.328358208955223,25.408163265306122,76.23529411764706,69.3,
be,1,57.024,64.24615384615385,51.93333333333333,68.46715328467154,40.77669902912621,65.86363636363636,29.301204819277107,52.81481481481482,44.93478260869565,33.73529411764706,53.833333333333336,41.86046511627907,26.440677966101696,38.31325301204819,27.2,57.27731092436975,64.81159420289855,30.697674418604652,33.492537313432834,65.88235294117646,66.0431654676259,28.65573770491803,58.44274809160305,55.55357142857143,63.503649635036496,67.6923076923077,66.52941176470588,79.55,36.63636363636363,43.2183908045977,68.57142857142857,76.10457516339869,40.15909090909091,35.34065934065934,60.484375,5.7631578947368425,41.73913043478261,72.0,49.5,43.90909090909091,77.47096774193548,73.22448979591837,57.984848484848484,80.34782608695652,48.49484536082474,77.10967741935484,69.59154929577464,37.745098039215684,
mn,1,56.774193548387096,58.31404958677686,70.61111111111111,62.83464566929134,48.648648648648646,69.49640287769785,35.95505617977528,55.2,38.493506493506494,40.40449438202247,49.45454545454545,32.72727272727273,20.0,41.42528735632184,25.904761904761905,56.275862068965516,53.664,37.30434782608695,37.714285714285715,53.38317757009346,55.317460317460316,31.56923076923077,33.833333333333336,48.31683168316832,59.01639344262295,66.15942028985508,62.176,72.46896551724137,39.51648351648352,55.0,65.18518518518519,75.67105263157895,43.369565217391305,43.313131313131315,41.345794392523366,7.584415584415584,45.77319587628866,63.0,43.97727272727273,29.723076923076924,58.08130081300813,70.30985915492958,35.27927927927928,37.333333333333336,53.53703703703704,73.53020134228188,61.83206106870229,46.2,
is,1,54.03508771929825,75.78947368421052,50.03389830508475,62.83464566929134,37.5,76.16883116883118,37.97802197802198,59.44615384615385,43.43181818181818,32.878787878787875,60.714285714285715,40.7710843373494,27.5,37.48780487804878,24.57831325301205,55.2212389380531,83.95238095238095,37.30434782608695,31.96875,55.4954954954955,83.98809523809524,27.050847457627118,64.30434782608695,51.79245283018868,60.317460317460316,64.85074626865672,69.6,70.87323943661971,43.07368421052632,40.97560975609756,67.2463768115942,71.4965034965035,33.77777777777778,30.804597701149426,58.144,7.584415584415584,48.71287128712871,68.05839416058394,46.45161290322581,47.25,66.42962962962963,72.08275862068966,84.81176470588235,64.23529411764706,44.04494382022472,70.31944444444444,84.35502958579882,34.22222222222222,
